Longitude;Latitude
-97.319058;27.883353
-95.583513;29.580997
-95.243118;29.400896
-95.073874;29.518584
-95.452015;29.04319
-95.625417;29.759434
-94.977309;29.758316
-94.121266;36.086109
-94.144983;36.124482
-90.959474;36.071183
-95.479588;29.737762
-95.53378;29.737129
-95.490035;29.730643
-95.577788;29.72793
-96.780135;32.836678
-96.786904;32.846867
-96.595863;32.83254
-96.805397;32.812225
-97.149699;32.839326
-97.132312;32.84972
-97.008703;32.846188
-96.754336;32.836561
-96.787797;32.82273
-97.258665;32.894468
-96.953109;32.885568
-97.149207;32.890303
-96.461424;32.896944
-96.47223;32.895939
-96.722442;32.896066
-96.737713;32.909063
-96.852557;32.909693
-97.186436;32.904687
-96.568664;32.907556
-96.841347;32.803679
-96.698209;32.792176
-96.801182;32.800743
-97.172753;32.764915
-97.220821;32.809009
-97.422959;32.810066
-97.095518;32.782894
-96.583189;32.764231
-97.097094;32.767882
-96.798187;32.806173
-96.61109;32.810169
-90.085593;29.924415
-95.603046;29.922685
-89.98999;29.915816
-95.584923;29.929774
-97.289957;32.87319
-96.7427;32.867471
-96.616061;32.87436
-96.769505;32.853368
-96.94976;32.864743
-96.991611;32.863702
-96.702466;32.877471
-95.764904;32.873608
-97.188395;32.853934
-97.426844;32.876489
-97.134263;32.852151
-97.23818;32.858151
-97.157818;32.878972
-96.701591;32.864318
-97.381401;32.880475
-96.764413;32.874722
-91.109667;30.431408
-97.65999;30.483006
-97.65086;30.504144
-97.777288;30.497598
-90.127282;30.459162
-97.616148;30.497387
-97.787624;30.445413
-97.758441;30.495788
-82.354227;27.948519
-82.746229;27.972215
-80.092914;26.934247
-80.278053;27.254657
-80.227741;27.24371
-82.124453;27.000849
-82.3932;27.049827
-82.087501;26.973235
-82.248393;27.045761
-82.406428;27.050297
-82.337382;26.936574
-80.057907;26.854462
-80.202709;27.13087
-82.438284;27.106897
-80.226354;27.164583
-80.079858;26.932373
-82.534602;27.250814
-82.45727;27.136774
-80.409917;27.263519
-82.493618;27.227152
-82.254914;27.046249
-80.270035;27.23993
-80.533019;28.015591
-82.148322;28.024315
-82.796207;27.98342
-81.926203;28.024948
-82.756145;28.0207
-81.723773;28.004061
-82.709067;27.981427
-81.803535;26.25093
-80.117708;26.231709
-80.117017;26.278585
-80.156304;26.214656
-81.767413;26.272363
-81.801485;26.274224
-80.204666;26.22746
-80.287949;26.217601
-81.76853;26.214028
-81.689163;26.267152
-80.253879;26.242846
-80.09737;26.231944
-80.096988;26.279498
-80.134855;26.300509
-80.286456;26.212874
-81.74757;26.27473
-80.254027;26.242281
-80.186568;26.296773
-80.257749;26.272606
-80.278841;26.304514
-80.102271;26.240308
-81.771414;26.211601
-80.200371;26.235481
-80.235457;26.28666
-81.80162;26.268005
-82.304141;34.829804
-82.229216;34.805415
-82.289945;34.893499
-82.271052;34.819491
-77.957127;34.748777
-82.400666;34.889913
-81.166059;34.067796
-78.05176;34.254984
-79.002768;34.662973
-82.183106;34.20927
-77.889335;34.194644
-82.635183;34.528496
-81.164364;34.097631
-79.826114;34.178604
-77.881569;34.248435
-80.29063;25.924796
-81.728563;25.929408
-80.31857;25.799786
-80.314762;25.861854
-80.369016;25.793674
-80.130578;25.885782
-80.327268;25.913997
-80.163796;25.888892
-80.162816;25.892128
-80.341206;25.942408
-80.130675;25.791163
-80.306184;25.866724
-80.325067;25.81528
-80.321065;25.855008
-82.553166;35.343055
-82.52587;35.484773
-82.5929;35.577691
-80.650337;35.393203
-82.537468;35.457387
-82.526698;35.533993
-79.183389;35.490996
-80.175409;35.343722
-80.89439;35.44469
-81.942185;35.366114
-80.608567;35.449577
-80.860424;35.482116
-80.855455;35.554979
-80.877741;35.445528
-77.934464;35.383501
-81.930913;35.355977
-78.342461;35.506078
-82.446007;35.337295
-80.892999;35.478023
-80.592998;35.464829
-78.313527;35.51925
-81.960026;35.357155
-80.784621;35.37176
-78.345877;35.511431
-77.571143;37.605318
-77.55089;37.636745
-77.589326;37.68274
-77.460694;37.673615
-77.58548;37.647061
-78.457643;38.031134
-77.621359;37.622166
-77.523581;37.618761
-77.503049;38.231817
-77.471431;37.761459
-80.26758;26.186488
-80.095837;26.198076
-81.800455;26.204817
-80.274183;26.193653
-81.768276;26.209536
-80.241669;26.19371
-80.259957;26.148676
-81.790397;26.171633
-81.799814;26.189574
-80.125859;26.18912
-81.929424;26.505195
-81.929424;26.505195
-81.878296;26.565704
-80.090668;26.529493
-80.084851;26.531759
-81.951088;26.562108
-80.122701;26.53104
-80.177375;26.57192
-81.886089;26.547492
-82.077993;26.438835
-80.146852;26.450942
-81.871701;26.548693
-80.123187;26.457701
-80.0908;26.535876
-81.462597;30.31986
-81.848521;30.292085
-81.845016;30.315317
-81.388652;30.27008
-81.545609;30.322111
-81.434343;28.304602
-81.416099;28.309759
-81.414286;28.341385
-82.719633;28.274011
-80.718391;28.269125
-82.671287;28.299135
-82.189147;28.365346
-81.313488;28.251174
-81.400665;28.44496
-81.447213;28.408319
-81.435004;28.261402
-81.407429;28.292177
-80.609767;28.393454
-82.698728;28.360542
-82.187356;28.341106
-81.901435;26.687424
-80.06121;26.843924
-80.201074;26.708279
-80.040393;26.718437
-80.149929;26.708138
-80.294584;26.781008
-80.11102;26.705276
-80.100813;26.808706
-80.1861;26.709057
-80.664322;26.818399
-81.359198;27.299922
-82.497409;27.343055
-82.575461;27.432828
-82.505516;27.387446
-82.601799;27.462342
-82.575297;27.459408
-82.51424;27.301546
-82.707333;27.4917
-80.355989;27.274042
-80.39072;27.3283
-81.44295;27.471175
-82.463379;27.269012
-81.325048;28.553249
-81.770238;28.556343
-81.212656;28.596917
-81.345725;28.553301
-80.805016;28.579921
-81.206797;28.556035
-81.482264;28.552066
-80.803801;28.557645
-81.588954;28.551012
